Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Rainfall,Crop
90,42,43,21.0,82,210,Rice
88,40,45,24.5,80,230,Rice
78,38,42,26.0,76,190,Rice
65,58,38,22.0,60,85,Wheat
60,55,35,20.5,58,75,Wheat
70,62,42,24.0,64,95,Wheat
75,45,38,28.5,62,95,Maize
82,48,40,30.0,66,110,Maize
68,42,35,27.0,58,80,Maize
120,48,50,27.5,70,75,Cotton
112,52,48,31.0,64,62,Cotton
130,45,55,33.0,58,55,Cotton
105,36,55,27.0,76,180,Sugarcane
115,40,60,30.0,78,210,Sugarcane
98,35,52,25.5,74,160,Sugarcane
40,72,80,26.0,55,60,Groundnut
35,68,76,28.0,50,48,Groundnut
45,75,82,30.0,52,70,Groundnut
22,60,25,18.0,70,110,Chickpea
18,55,22,20.0,62,90,Chickpea
28,65,30,24.0,58,75,Chickpea
55,70,45,23.0,72,140,Tomato
60,75,48,26.0,68,120,Tomato
50,68,42,28.0,64,100,Tomato
30,40,35,18.5,78,95,Potato
34,45,38,21.0,74,105,Potato
28,42,34,16.5,80,88,Potato
95,50,55,27.0,86,240,Banana
105,55,60,29.0,82,260,Banana
88,48,52,25.0,84,220,Banana
32,35,40,24.0,50,35,Millet
28,30,35,30.0,42,28,Millet
36,38,42,32.0,45,40,Millet
45,50,45,23.0,68,130,Soybean
50,55,48,26.0,64,110,Soybean
42,48,42,28.0,60,95,Soybean
