Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Moisture,Soil_Type,Crop_Type,Fertilizer_Name
90,42,43,21.0,82,38,Loamy,Rice,Urea
85,38,40,24.5,78,42,Clayey,Rice,Urea
70,50,45,26.0,76,55,Clayey,Wheat,DAP
65,48,42,23.5,70,45,Loamy,Wheat,DAP
35,65,75,28.0,64,34,Sandy,Maize,10-26-26
42,60,70,29.5,60,32,Sandy,Maize,10-26-26
25,72,82,27.5,58,30,Red,Cotton,MOP
30,68,78,31.0,55,29,Black,Cotton,MOP
50,45,35,22.0,66,40,Loamy,Sugarcane,NPK
55,50,40,25.0,72,52,Black,Sugarcane,NPK
20,35,30,20.0,62,28,Sandy,Groundnut,Compost
18,30,28,23.0,58,31,Red,Groundnut,Compost
75,35,30,26.0,80,60,Clayey,Rice,Urea
60,55,50,24.0,68,44,Loamy,Wheat,DAP
38,62,68,30.0,61,33,Sandy,Maize,10-26-26
28,70,85,32.0,56,26,Black,Cotton,MOP
52,48,38,27.0,73,50,Black,Sugarcane,NPK
22,32,25,24.0,60,35,Red,Groundnut,Compost
95,40,42,25.5,84,58,Clayey,Rice,Urea
58,52,45,21.5,65,41,Loamy,Wheat,DAP
45,58,72,28.5,63,36,Sandy,Maize,10-26-26
32,75,88,30.5,54,27,Red,Cotton,MOP
48,42,36,26.5,75,49,Loamy,Sugarcane,NPK
15,28,22,22.5,57,32,Sandy,Groundnut,Compost
80,45,44,23.0,79,48,Clayey,Rice,Urea
62,58,49,25.0,69,46,Loamy,Wheat,DAP
40,64,74,29.0,62,35,Sandy,Maize,10-26-26
26,69,81,33.0,53,25,Black,Cotton,MOP
57,46,39,28.0,74,54,Black,Sugarcane,NPK
19,31,27,21.0,59,30,Red,Groundnut,Compost
